"date","val"
"9/1/2019","58.84"
"8/30/2019","59.19"
"8/29/2019","60.37"
"8/28/2019","59.84"
"8/27/2019","59.59"
"8/26/2019","58.26"
"8/25/2019","57.81"
"8/23/2019","58.94"
"8/22/2019","60.05"
"8/21/2019","60.38"
"8/20/2019","60.05"
"8/19/2019","59.74"
"8/18/2019","58.89"
"8/16/2019","58.64"
"8/15/2019","58.40"
"8/14/2019","58.99"
"8/13/2019","60.91"
"8/12/2019","58.37"
"8/11/2019","58.27"
"8/9/2019","58.42"
"8/8/2019","57.75"
"8/7/2019","56.23"
"8/6/2019","58.94"
"8/5/2019","59.81"
"8/4/2019","61.33"
"8/2/2019","61.17"
"8/1/2019","60.50"
"7/31/2019","65.05"
"7/30/2019","64.96"
"7/29/2019","63.74"
"7/28/2019","63.05"
"7/26/2019","63.27"
"7/25/2019","62.95"
"7/24/2019","63.13"
"7/23/2019","64.21"
"7/22/2019","63.30"
"7/21/2019","63.24"
"7/19/2019","62.65"
"7/18/2019","62.59"
"7/17/2019","63.60"
"7/16/2019","64.40"
"7/15/2019","66.19"
"7/14/2019","66.72"
"7/12/2019","67.00"
"7/11/2019","66.81"
"7/10/2019","66.72"
"7/9/2019","64.54"
"7/8/2019","63.89"
"7/7/2019","64.38"
"7/5/2019","64.44"
"7/4/2019","63.18"
"7/3/2019","63.86"
"7/2/2019","62.82"
"7/1/2019","65.22"
"6/30/2019","65.63"
"6/28/2019","64.55"
"6/27/2019","65.43"
"6/26/2019","65.53"
"6/25/2019","65.04"
"6/24/2019","64.78"
"6/23/2019","65.40"
"6/21/2019","65.35"
"6/20/2019","64.70"
"6/19/2019","62.27"
"6/18/2019","62.31"
"6/17/2019","60.93"
"6/16/2019","62.17"
"6/14/2019","62.04"
"6/13/2019","61.35"
"6/12/2019","59.78"
"6/11/2019","62.06"
"6/10/2019","62.32"
"6/9/2019","63.89"
"6/7/2019","63.24"
"6/6/2019","62.23"
"6/5/2019","60.50"
"6/4/2019","61.40"
"6/3/2019","60.90"
"6/2/2019","60.71"
"5/31/2019","61.76"
"5/30/2019","65.21"
"5/29/2019","68.17"
"5/28/2019","68.69"
"5/27/2019","68.68"
"5/26/2019","67.97"
"5/24/2019","69.26"
"5/23/2019","68.00"
"5/22/2019","70.91"
"5/21/2019","72.04"
"5/20/2019","72.06"
"5/19/2019","72.90"
"5/17/2019","72.17"
"5/16/2019","72.77"
"5/15/2019","71.95"
"5/14/2019","70.99"
"5/13/2019","69.95"
"5/12/2019","70.43"
"5/10/2019","70.86"
"5/9/2019","70.32"
"5/8/2019","70.32"
"5/7/2019","69.87"
"5/6/2019","70.98"
"5/5/2019","69.66"
"5/3/2019","70.78"
"5/2/2019","70.35"
"5/1/2019","72.05"
"4/30/2019","71.66"
"4/29/2019","71.42"
"4/28/2019","71.22"
"4/26/2019","71.13"
"4/25/2019","73.62"
"4/24/2019","74.55"
"4/23/2019","74.36"
"4/22/2019","74.25"
"4/21/2019","72.25"
"4/18/2019","72.01"
"4/17/2019","71.64"
"4/16/2019","71.86"
"4/15/2019","71.30"
"4/14/2019","71.35"
"4/12/2019","71.55"
"4/11/2019","70.98"
"4/10/2019","71.57"
"4/9/2019","70.83"
"4/8/2019","71.10"
"4/7/2019","70.68"
"4/5/2019","70.48"
"4/4/2019","69.31"
"4/3/2019","69.52"
"4/2/2019","69.57"
"4/1/2019","69.16"
"3/31/2019","67.84"
"3/29/2019","67.55"
"3/28/2019","67.31"
"3/27/2019","67.30"
"3/26/2019","67.44"
"3/25/2019","66.90"
"3/24/2019","66.88"
"3/22/2019","67.08"
"3/21/2019","67.74"
"3/20/2019","68.30"
